id,name,account,password,phone,email,address,birthday,gender,created_at,birthday_month,pic,level_point,google_uid,shop_name,shop_site,shop_cover,shop_info,shop_valid,
1,張婉婷,zhang.wt,202CB962AC59075B964B07152D234B70,0912345677,zhang.wt@email.com,台北市中山區榮星花園 1 號,1994-12-06,Female,2022-01-06 15:05:09,12,,,,玩具熊的小窩,toybear55,shop1.jpeg,歡迎來到玩具熊的小窩！我們提供了品質最優良的二手遊戲！,1,
2,陳冠宇,chen.gy,202CB962AC59075B964B07152D234B70,0923456787,chen.gy@email.com,新北市三峽區明德路 20 號,1994-12-07,Male,2022-01-07 9:06:30,12,,,,煞氣欸路易吉,luigishop,luigi.jpeg,歡迎光臨～煞氣欸路易吉！在遊戲的分享之中，一起冒險成長吧兄弟！,1,
3,林雅琳,lin.yl,202CB962AC59075B964B07152D234B70,0934567891,lin.yl@email.com,高雄市前鎮區興仁路 15 號,1994-09-08,Female,2022-01-08 8:07:56,9,,,,碧姬公主的玩具城堡,princess-toy-castle,princess-peach.avif,這裡是碧姬公主的遊戲城堡，我們提供了品質最優良的二手遊戲，讓您可以獲得物超所值的商品們，享受遊戲帝國的美好！,1,
4,王瑞祥,wang.rx,202CB962AC59075B964B07152D234B70,0945678901,wang.rx@email.com,台中市西屯區東山路 8 號,1994-11-09,Male,2022-01-09 20:50:07,11,,,,栗寶寶好物站,goodthingshop,libabe.jpeg,栗寶寶好物站，歡迎光臨！精選這些我們很喜歡的遊戲，用優惠的二手價格分享給您，歡迎參觀選購！,1,
5,陳怡君,chen.yj,202CB962AC59075B964B07152D234B70,0967890144,chen.yj@email.com,桃園市中壢區文化路 45 號,1994-12-10,Female,2022-01-10 17:15:42,12,,,,庫巴很酷吧,bowsercool,bowser.jpeg,只賣最好的商品，不是任天堂的我可是不玩的喔！這樣的庫巴很酷吧。,1,
6,黃信宏,huang.xh,202CB962AC59075B964B07152D234B70,0967890122,huang.xh@email.com,彰化縣彰化市光復路 30 號,1994-10-11,Male,2022-01-11 16:40:16,10,,,,紅色死神的遊戲收藏,deathpool,deathpool.jpg,大家好，我是紅色死神，當過設計師、工程師、講師，自稱是非典型工作者的異端工程師，喜歡在經營網站的過程中體會與人的互動。學生邀請我賣遊戲，這裡是我精選一些玩了還想再玩的遊戲。希望大家喜歡。,1,
7,蔡宛儒,tsai.wr,202CB962AC59075B964B07152D234B70,0978901234,tsai.wr@email.com,嘉義市東區民生路 12 號,1994-06-12,Male,2022-01-12 22:22:22,6,,,,,,,,0,
8,鄭家豪,zheng.jh,202CB962AC59075B964B07152D234B70,0989012345,zheng.jh@email.com,台南市北區北門路 88 號,1994-01-13,Female,2022-01-13 21:14:38,1,,,,,,,,0,
9,許雅文,xu.yw,202CB962AC59075B964B07152D234B70,0901234567,xu.yw@email.com,苗栗縣苗栗市府前路 6 號,1994-12-14,Male,2022-01-14 12:15:23,12,,,,,,,,0,
10,楊宗翰,yang.zh,202CB962AC59075B964B07152D234B70,0902345678,yang.zh@email.com,宜蘭縣宜蘭市民權路 18 號,1994-05-15,Male,2022-01-15 14:14:14,5,,,,,,,,0,
11,范欣怡,fan.xy,202CB962AC59075B964B07152D234B70,0903456789,fan.xy@email.com,花蓮縣花蓮市新興路 25 號,1994-12-16,Female,2022-01-16 18:20:25,12,,,,,,,,0,
12,朱志明,zhu.zm,202CB962AC59075B964B07152D234B70,0904567890,zhu.zm@email.com,基隆市仁愛區中正路 33 號,1994-12-17,Male,2022-01-17 19:36:26,12,,,,,,,,0,
